ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"45.196.151.93","elite","AS7018","US","AT&T Services, Inc.","84","AQUA Networks Limited","5432","socks4","1","98","9266","9410","2025-04-08T12:46:42.102Z","985"
"104.25.251.18","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","13335","socks4","1","100","9398","9399","2025-04-08T12:46:42.094Z","825"
"131.221.182.14","elite","N/A","BR","Primanet Internet LTDA","221","N/A","4153","socks4","1","98","2597","2643","2025-04-08T12:46:42.166Z","1409"
"185.182.194.135","elite","AS49981","NL","WorldStream B.V.","15","Worldstream","32645","socks4","1","100","2358","2358","2025-04-08T12:46:42.089Z","574"
"116.99.235.172","elite","AS24086","VN","Viettel Corporation","201","Viettel Group","30870","socks4","1","51","1162","2273","2025-04-08T12:46:42.082Z","1293"
"184.178.172.13","elite","AS22773","US","Cox Communications Inc.","152","Cox Communications Inc.","15311","socks4","1","100","2311","2316","2025-04-08T12:46:42.176Z","480"
"103.124.136.138","elite","AS138089","ID","Global Media Data Prima","268","N/A","3125","socks5","1","93","8661","9337","2025-04-08T12:46:42.171Z","4883"
"140.237.144.43","elite","AS4134","CN","Chinanet","271","Chinanet FJ","53309","socks4","2","48","4547","9449","2025-04-08T12:46:42.172Z","610"
"46.34.174.103","elite","AS206065","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","118","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","8090","socks4","1","96","2642","2741","2025-04-08T12:46:42.275Z","1072"
"103.118.127.222","elite","AS137376","ID","Tele","167","N/A","4153","socks4","1","97","2666","2756","2025-04-08T12:46:42.098Z","2794"
"104.22.37.236","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","socks4","1","100","9460","9460","2025-04-08T12:46:42.178Z","4880"
"172.64.146.133","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","2082","socks4","1","100","1991","1991","2025-04-08T12:46:42.172Z","1241"
"142.93.207.141","elite","AS14061","US","DigitalOcean, LLC","93","DigitalOcean, LLC","8090","socks5","1","85","2169","2553","2025-04-08T12:46:42.100Z","343"
"193.34.93.221","elite","AS41967","UA","Sumski Telecom Systems Ltd","39","TKS","33861","socks4","1","29","788","2702","2025-04-08T12:46:42.092Z","5012"
"91.218.140.96","elite","AS205516","KZ","NLS ASTANA LLP","93","Beget","3629","socks4","1","20","1869","9411","2025-04-08T12:46:42.278Z","1086"
"101.51.104.138","elite","AS23969","TH","TOT Public Company Limited","206","TOT Public Company Limited","4145","socks4","1","44","4129","9380","2025-04-08T12:46:42.178Z","96"
"107.175.66.132","elite","AS36352","US","HostPapa","89","David Wu","3128","socks4","1","11","217","2016","2025-04-08T12:46:42.167Z","4915"
"115.76.195.226","elite","AS7552","VN","VIETELGPRS","205","GPRS Services","30726","socks4","1","34","714","2114","2025-04-08T12:46:42.091Z","4797"
"171.238.60.196","elite","AS7552","VN","Viettel Corporation","197","VIETEL","1080","socks4","1","65","1666","2545","2025-04-08T12:46:42.176Z","3394"
"185.79.241.34","elite","AS206957","PL","PHU Kario-Sat Sp. z o.o.","33","Kariosat 185 79","42756","socks4","1","89","2432","2722","2025-04-08T12:46:42.102Z","3601"
"178.128.119.195","elite","AS14061","SG","DigitalOcean, LLC","199","Digitalocean","3128","socks4","1","96","9083","9454","2025-04-08T12:46:42.170Z","4996"
"5.135.24.186","elite","AS16276","FR","OVH SAS","14","OVH Ltd","808","socks4","1","25","2401","9465","2025-04-08T12:46:42.164Z","505"
"186.145.192.251","elite","AS10620","CO","Telmex Colombia S.A.","167","Telmex Colombia S.A.","5678","socks4","1","96","2634","2740","2025-04-08T12:46:42.095Z","200"
"198.199.86.11","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","8080","socks4","1","100","286","287","2025-04-08T12:46:42.173Z","439"
"80.90.90.197","elite","AS35444","AL","Digicom","50","N/A","443","socks4","1","98","1015","1038","2025-04-08T12:46:42.099Z","5015"
"182.253.246.31","elite","AS17451","ID","BIZNET","172","N/A","4153","socks4","1","94","8794","9320","2025-04-08T12:46:42.085Z","4573"
"190.104.148.250","elite","AS27895","PY","Núcleo S.A.","257","Núcleo S.A","8080","socks4","1","64","6061","9492","2025-04-08T12:46:42.093Z","2486"
"95.217.196.186","elite","AS24940","FI","Hetzner Online GmbH","36","HETZNER-DC","21899","socks4","1","100","2593","2595","2025-04-08T12:46:42.278Z","398"
"91.149.202.162","elite","AS26383","GB","Baxet Group Inc.","16","Baxet Group Inc","1080","socks5","69","77","2003","2593","2025-04-08T12:46:42.277Z","1495"
"202.166.205.242","elite","AS17501","NP","WorldLink Communications","191","N/A","17501","socks4","1","98","9292","9524","2025-04-08T12:46:42.165Z","4997"
"13.67.184.126","elite","AS8075","US","Microsoft Corporation","128","Microsoft Azure Cloud (centralus)","3128","socks4","1","55","1438","2610","2025-04-08T12:46:42.092Z","5104"
"203.30.190.172","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks4","1","100","9435","9437","2025-04-08T12:46:42.174Z","1418"
"176.9.32.84","elite","AS24940","DE","Hetzner Online GmbH","11","Hetzner","22000","socks4","1","100","9473","9479","2025-04-08T12:46:42.279Z","2983"
"143.244.57.20","elite","AS60068","FR","Datacamp Limited","12","Cdn77 PAR","80","socks4","1","100","1395","1395","2025-04-08T12:46:42.095Z","2306"
"182.160.103.124","elite","AS24323","BD","Aamra Networks Limited","197","N/A","9990","socks5","1","96","2579","2686","2025-04-08T12:46:42.174Z","2997"
"185.169.181.27","elite","AS34984","TR","Ates Dc","49","Ibrahim MALA trading as Ates Dc","4145","socks4","1","100","9417","9444","2025-04-08T12:46:42.274Z","4265"
"79.98.1.32","elite","AS12445","IT","LINEACOM-CR-PE-79 98","33","Linea Com S.r.l.","34746","socks4","1","68","1865","2723","2025-04-08T12:46:42.100Z","4679"
"154.6.96.119","elite","AS215224","US","NovoServe B.V.","13","LogicWeb Inc","1337","socks5","1","60","1581","2650","2025-04-08T12:46:26.302Z","4988"
"161.97.129.202","elite","AS51167","DE","Contabo GmbH","7","Contabo GmbH","9060","socks4","1","100","2697","2708","2025-04-08T12:46:26.374Z","896"
"24.37.245.42","elite","AS5769","CA","Le Groupe Videotron Ltee","111","Videotron Ltee","51056","socks4","1","99","2703","2721","2025-04-08T12:46:26.371Z","2694"
"115.240.101.49","elite","AS55836","IN","Reliance Jio Infocomm Limited","169","Reliance Jio Infocomm Limited","5678","socks4","1","99","9325","9409","2025-04-08T12:46:26.384Z","5309"
